Grade	Subject	Chapter Name	Learning Outcomes
LKG	Physical Education	Tracing and Cutting	Traces lines, curves, shapes neatly; uses scissors safely.
LKG	Physical Education	Balance and Coordination	Balances on one foot briefly; better hand-eye coordination.
LKG	Social Emotional	Classroom Rules	Waits for turn; follows classroom rules.
LKG	Social Emotional	Helping Others	Shares, cooperates, shows empathy, and helps others.
UKG	English	Reading CVC Words	Reads simple CVC words (cat, mat, pot).
UKG	English	Writing Letters	Recognises and writes A–Z and a–z properly.
UKG	English	Writing Phrases	Writes short phrases (My name is…).
UKG	English	Story Comprehension	Understands stories & answers questions; retells stories in sequence.
UKG	Mathematics	Numbers 1-50	Writes numbers 1–50 (or more).
UKG	Mathematics	Introduction to Addition	Understands addition using pictures.
UKG	Mathematics	Comparisons and Number Names	Performs simple comparisons; reads number names (one to ten).
UKG	Mathematics	Money and Time	Recognises coins/notes; understands time words (today, tomorrow).
UKG	EVS	Transport and Safety	Knows types of transport; understands basic safety.
UKG	EVS	Our Helpers	Identifies professions (doctor, teacher, farmer).
UKG	EVS	Flora and Fauna	Knows basic parts of plants and animals.
UKG	EVS	Culture and Directions	Understands festivals; knows map words (left/right).
UKG	Physical Education	Motor Control	Writes neatly within lines; good pencil control.
UKG	Physical Education	Speed and Coordination	Participates in games requiring speed & coordination.
UKG	Social Emotional	Confidence and Responsibility	Shows responsibility (keeps bag proper); shows confidence in speaking.
UKG	Social Emotional	Group Work	Works in groups; understands good habits.
UKG	Creative Arts	Advanced Drawing	Creates drawings with multiple elements.
UKG	Creative Arts	Drama and Rhythm	Participates in drama/role play; sings rhythmically.
CLASS_1	EVS	Chapter 12: How Many? (Data Handling)	• Collect and record simple data using tally marks.<br>• Represent data pictorially (pictograph).<br>• Interpret simple pictographs to answer questions.
CLASS_1	EVS	Theme 1: Myself and My Body	• Name and identify different parts of their body.<br>• Understand the basic functions of the five senses.<br>• Develop awareness about personal hygiene and health.
CLASS_1	EVS	Theme 2: My Family, Friends, and Neighbours	• Identify members of a family and understand their roles.<br>• Understand the importance of friends and sharing.<br>• Recognize people who help in the neighbourhood (postman, doctor, policeman).
CLASS_1	EVS	Theme 3: My Home and My School	• Identify different rooms in a house and their functions.<br>• Understand the importance of keeping the home and school clean.<br>• Identify different places in the school and the people there.
CLASS_1	EVS	Theme 4: Food, Water, and Air	• Identify different food items and categorize them (cooked/uncooked, fruits/vegetables).<br>• Understand the importance of water for drinking and cleaning.<br>• Recognize that air is all around us and is necessary for life.
CLASS_1	EVS	Theme 5: Plants and Animals Around Us	• Identify common plants and animals in their surroundings.<br>• Understand the basic needs of plants (water, sunlight).<br>• Develop a caring attitude towards animals.
CLASS_1	EVS	Theme 6: Travel and Safety	• Identify common means of transport (bus, car, bicycle, train, aeroplane).<br>• Understand basic safety rules on the road and at home.<br>• Recognise traffic signals (red, yellow, green).
CLASS_1	EVS	Theme 7: Seasons and Clothes	• Name the main seasons (summer, rainy, winter).<br>• Identify the type of weather associated with each season.<br>• Relate the type of clothing worn to the season.
CLASS_1	English	Unit 1: A Happy Child (Poem), Three Little Pigs (Story)	• Listen to and recite the poem with actions and rhythm.<br>• Recognize and name the letters of the alphabet.<br>• Understand the sequence of events in a simple story.<br>• Relate the story to the concept of 'home' and 'safety'.
CLASS_1	English	Unit 2: After a Bath (Poem), The Bubble, the Straw and the Shoe (Story)	• Enjoy the rhythm of the poem and relate it to a daily routine.<br>• Identify rhyming words.<br>• Read simple 3-letter (CVC) words.<br>• Understand the moral of being careful.
CLASS_1	English	Unit 3: One Little Kitten (Poem), Lalu and Peelu (Story)	• Recite a counting poem with numbers.<br>• Identify and name colours.<br>• Read short sentences with familiar words.<br>• Understand the theme of friendship and helping.
CLASS_1	English	Unit 4: Once I Saw a Little Bird (Poem), Mittu and the Yellow Mango (Story)	• Enjoy a poem about nature and animals.<br>• Identify the sounds animals make.<br>• Understand the concept of 'sweet' and 'sour'.<br>• Read words with the short 'o' sound.
CLASS_1	English	Unit 5: Merry-Go-Round (Poem), Circle (Story)	• Experience the joy of movement through a poem.<br>• Identify the shape of a circle in the environment.<br>• Understand the concept of 'taking turns'.<br>• Practice pre-writing strokes.
CLASS_1	English	Unit 6: If I Were an Apple (Poem), Our Tree (Story)	• Use imagination and express a wish.<br>• Understand the usefulness of a tree.<br>• Identify parts of a tree (leaves, branches, trunk).<br>• Develop awareness about the environment.
CLASS_1	English	Unit 7: A Kite (Poem), Sundari (Story)	• Appreciate the beauty of a kite and its flight.<br>• Understand the concept of 'high' and 'low'.<br>• Read a short story with a clear beginning, middle, and end.<br>• Write simple 3-4 word sentences.
CLASS_1	English	Unit 8: The Clever Farmer (Story), Clouds (Poem)	• Understand the moral of a story (cleverness).<br>• Identify different types of clouds (conceptually).<br>• Develop comprehension skills by answering 'Why' questions.<br>• Read short sentences independently.
CLASS_1	English	Unit 9: The Tiger and the Mosquito (Story), Anandi’s Rainbow (Poem)	• Understand that even the small can be mighty.<br>• Identify the colours of the rainbow.<br>• Sequence the events of a story correctly.<br>• Develop an appreciation for nature's beauty.
CLASS_1	Mathematics	Chapter 10: Numbers from Fifty-One to One Hundred	• Count, read, and write numbers from 51 to 100.<br>• Consolidate the understanding of place value (tens and ones).<br>• Skip count in tens (10, 20, 30...).
CLASS_1	Mathematics	Chapter 11: Money	• Identify common Indian currency coins and notes (₹1, ₹2, ₹5, ₹10, ₹20, ₹50, ₹100).<br>• Understand that money is used to buy things.<br>• Make small amounts using coins.
CLASS_1	Mathematics	Chapter 1: Shapes and Space	• Identify and describe 2-D shapes (square, rectangle, circle, triangle, oval).<br>• Understand and use spatial vocabulary (inside-outside, above-below, near-far, on-under, in-front-behind).<br>• Sort, classify, and compare objects based on observable attributes (size, shape, colour).
CLASS_1	Mathematics	Chapter 2: Numbers from One to Nine	• Count objects in a group accurately (one-to-one correspondence).<br>• Recognize, read, and write numerals from 1 to 9.<br>• Understand the value of a given numeral.<br>• Compare two numbers (less/more, greater/smaller) and order them.
CLASS_1	Mathematics	Chapter 3: Addition	• Understand addition as combining two or more groups of objects.<br>• Use the '+' (plus) and '=' (equals) signs correctly.<br>• Solve simple addition problems with objects, pictures, and numerals (sums up to 9).
CLASS_1	Mathematics	Chapter 4: Subtraction	• Understand subtraction as 'taking away' or 'removing' from a group.<br>• Use the '-' (minus) sign correctly.<br>• Solve simple subtraction problems with objects, pictures, and numerals (up to 9).
CLASS_1	Mathematics	Chapter 5: Numbers from Ten to Twenty	• Count and represent numbers from 10 to 20.<br>• Read and write numerals from 10 to 20.<br>• Understand the concept of 'tens' and 'ones' (place value) for these numbers.
CLASS_1	Mathematics	Chapter 6: Time	• Understand the sequence of events in a day (morning, afternoon, evening, night).<br>• Name the days of the week in order.<br>• Develop a sense of time passing.
CLASS_1	Mathematics	Chapter 7: Measurement	• Compare objects using direct comparison (long-short, tall-short, heavy-light, thick-thin).<br>• Understand the need for measurement.
CLASS_1	Mathematics	Chapter 8: Numbers from Twenty-One to Fifty	• Count, read, and write numbers from 21 to 50.<br>• Extend the understanding of tens and ones to larger numbers.<br>• Arrange numbers in ascending/descending order.
CLASS_1	Mathematics	Chapter 9: Patterns	• Identify, extend, and create simple patterns using shapes, colours, numbers, and sounds.<br>• Understand the concept of repetition in a pattern.
CLASS_2	EVS	Chapter 10: Add Our Points	• Understand addition as putting together and subtraction as taking away in a game context.<br>• Add and subtract multiple numbers.<br>• Apply mental maths strategies.
CLASS_2	EVS	Chapter 10: The Festival of India	• Identify different festivals celebrated in India.<br>• Understand that different festivals have different customs and traditions.<br>• Develop a sense of national unity and cultural diversity.
CLASS_2	EVS	Chapter 11: Lines and Lines	• Identify different types of lines (straight, curved, horizontal, vertical, slanting).<br>• Draw different types of lines.<br>• Identify and draw shapes using these lines.
CLASS_2	EVS	Chapter 11: Our National Symbols	• Identify the national flag, national anthem, national emblem, and national animal.<br>• Show respect for national symbols.<br>• Understand the significance of these symbols.
CLASS_2	EVS	Chapter 12: Give and Take	• Consolidate addition and subtraction of 2-digit numbers.<br>• Understand the relationship between addition and subtraction (inverse operations).<br>• Solve more complex word problems.
CLASS_2	EVS	Chapter 12: Our Earth	• Understand that the Earth is made up of land, water, and air.<br>• Identify different landforms (mountains, plains, rivers).<br>• Develop a sense of responsibility towards protecting the Earth.
CLASS_2	EVS	Chapter 13: The Longest Step	• Understand the concept of length and distance.<br>• Measure lengths using standard units (centimetres and metres).<br>• Compare lengths using standard units.
CLASS_2	EVS	Chapter 13: The Sun, The Moon and The Stars	• Differentiate between day and night.<br>• Identify the Sun, Moon, and stars.<br>• Understand the basic concept of the Sun's movement (rises in the east, sets in the west).
CLASS_2	EVS	Chapter 14: Basva's Farm	• Understand the life of a farmer and the work they do.<br>• Identify different crops grown on a farm (e.g., onions, grapes).<br>• Understand the tools used in farming (plough, spade).
CLASS_2	EVS	Chapter 14: Birds Come, Birds Go	• Understand multiplication as repeated addition.<br>• Understand division as equal sharing or grouping.<br>• Solve simple multiplication and division problems.
CLASS_2	EVS	Chapter 15: From Here to There	• Identify different means of transport (land, water, air).<br>• Understand the purpose of different vehicles.<br>• Recognize the need for safety while travelling.
CLASS_2	EVS	Chapter 15: How Many Ponytails?	• Collect, record, and represent data using tally marks and pictographs.<br>• Interpret data from a pictograph to answer questions.<br>• Understand the concept of a 'key' in a pictograph.
CLASS_2	EVS	Chapter 16: Our Friends – Animals	• Differentiate between pet animals and stray animals.<br>• Understand the responsibility of caring for a pet.<br>• Develop empathy and kindness towards all animals.
CLASS_2	EVS	Chapter 17: Here are a Few People	• Identify community helpers beyond the immediate family.<br>• Understand the tools and uniforms associated with different professions.<br>• Appreciate the interdependence in a community.
CLASS_2	EVS	Chapter 18: The Little Plant	• Understand the life cycle of a plant from a seed.<br>• Identify the conditions needed for a plant to grow (soil, water, sunlight, air).<br>• Develop a sense of patience and care by growing a plant.
CLASS_2	EVS	Chapter 1: Going to School	• Identify different means of transport used to come to school.<br>• Understand the concept of a safe route to school.<br>• Recognize different landmarks on the way to school.
CLASS_2	EVS	Chapter 1: What is Long, What is Round?	• Identify, describe, and classify 2-D and 3-D shapes.<br>• Distinguish between straight and curved lines, flat and curved surfaces.<br>• Draw shapes freehand and using a ruler.
CLASS_2	EVS	Chapter 20: Kho-Kho	• Understand the rules of a traditional Indian game.<br>• Develop skills like running, dodging, and teamwork.<br>• Appreciate the joy of playing outdoor games with friends.
CLASS_2	EVS	Chapter 21: Food for Fun	• Identify food items eaten during parties and celebrations.<br>• Differentiate between everyday healthy food and 'fun' or 'treat' food.<br>• Understand the importance of eating a balanced diet.
CLASS_2	EVS	Chapter 22: World of Sports	• Identify different sports and the equipment used.<br>• Understand the concept of playing for a team and a country.<br>• Recognize some famous Indian sportspersons (basic introduction).
CLASS_2	EVS	Chapter 23: Say it with Sounds	• Understand that we can communicate without words.<br>• Identify different sounds from nature, animals, and musical instruments.<br>• Create and enjoy different sounds.
CLASS_2	EVS	Chapter 24: House of Books	• Understand the function of a library.<br>• Identify different types of books (storybooks, poetry books, picture books).<br>• Learn how to handle books with care.
CLASS_2	EVS	Chapter 26: Left-Right	• Understand and use the concepts of 'left' and 'right'.<br>• Follow simple directions involving left and right.<br>• Develop spatial awareness.
CLASS_2	EVS	Chapter 27: Going to the Market	• Identify different things sold in a market (vegetables, fruits, clothes, toys).<br>• Understand the concept of buying and selling.<br>• Recognise the role of a shopkeeper.
CLASS_2	EVS	Chapter 28: A Treat for Mosquitoes	• Understand that mosquitoes can spread diseases.<br>• Learn about the life cycle of a mosquito (egg, larva, pupa, adult).<br>• Identify ways to prevent mosquito breeding and bites.
CLASS_2	EVS	Chapter 2: Counting in Groups	• Understand the concept of place value (tens and ones) for numbers up to 99.<br>• Read and write number names up to 99.<br>• Count objects efficiently by making groups of ten.
CLASS_2	EVS	Chapter 2: Ear to Ear	• Identify different animals and their young ones.<br>• Understand that animals have different body coverings (fur, feathers, scales).<br>• Recognize the sounds made by different animals.
CLASS_2	EVS	Chapter 30: Mannu – The Elephant	• Understand the story of a domesticated elephant and its relationship with its mahout.<br>• Learn about the food and habits of elephants.<br>• Develop empathy towards working animals.
CLASS_2	EVS	Chapter 31: Going to the Fair	• Understand the concept of a village or city fair (mela).<br>• Identify different activities and things seen at a fair.<br>• Experience the cultural and social aspect of a fair.
CLASS_2	EVS	Chapter 32: Our Clothes	• Identify different types of clothes for different occasions and seasons.<br>• Understand the materials clothes are made of (cotton, wool).<br>• Learn about the traditional dresses of different states of India (basic idea).
CLASS_2	EVS	Chapter 34: Web of Life	• Understand the simple concept of a food chain.<br>• Recognize the interdependence of plants and animals.<br>• Develop an awareness of the balance in nature.
CLASS_2	EVS	Chapter 3: A Day with Nandu	• Understand the life of an elephant (diet, habitat, family).<br>• Develop empathy towards animals.<br>• Learn about animal families (herd).
CLASS_2	EVS	Chapter 3: How Much Can You Carry?	• Add two 2-digit numbers without carrying.<br>• Subtract two 2-digit numbers without borrowing.<br>• Solve word problems related to addition and subtraction.
CLASS_2	EVS	Chapter 4: Counting in Tens	• Extend number sense to numbers beyond 99.<br>• Count in tens from 10 to 200.<br>• Understand the pattern in the number sequence.
CLASS_2	EVS	Chapter 4: The Food We Eat	• Classify food items into different groups (e.g., food from plants, food from animals).<br>• Understand the importance of cooked food.<br>• Identify utensils used for cooking and eating.
CLASS_2	EVS	Chapter 5: Here is a Child...	• Understand the diversity of family structures (joint, nuclear).<br>• Identify different family members and their roles.<br>• Appreciate the importance of elders in the family.
CLASS_2	EVS	Chapter 6: Footprints	• Understand the concept of measurement using non-standard units.<br>• Compare lengths using body parts (handspan, footprints).<br>• Understand the need for standard units.
CLASS_2	EVS	Chapter 6: The World of Animals	• Differentiate between domestic and wild animals.<br>• Identify the homes of different animals (nest, kennel, den, cave).<br>• Understand that animals need care and protection.
CLASS_2	EVS	Chapter 7: Jugs and Mugs	• Compare capacities of different containers.<br>• Measure capacity using non-standard units (small cups, glasses).<br>• Understand the concept of 'more' or 'less' capacity.
CLASS_2	EVS	Chapter 7: Water, Water Everywhere	• Understand the importance of water for life.<br>• Identify different sources of water.<br>• Learn ways to conserve and keep water clean.
CLASS_2	EVS	Chapter 8: Tens and Ones	• Add and subtract 2-digit numbers with carrying (regrouping).<br>• Add and subtract 2-digit numbers with borrowing (regrouping).<br>• Solve word problems involving these operations.
CLASS_2	EVS	Chapter 8: Work We Do	• Identify different professions and the work people do.<br>• Understand the tools used by different professionals.<br>• Appreciate the dignity of labour.
CLASS_2	EVS	Chapter 9: Games We Play	• Identify different indoor and outdoor games.<br>• Understand the importance of playing in a team and following rules.<br>• Develop an appreciation for traditional games.
CLASS_2	EVS	Chapter 9: My Funday	• Read a calendar and identify the day, date, and month.<br>• Sequence the days of the week and months of the year.<br>• Understand the concept of time (earlier, later).
CLASS_2	English	Chapter 19: Chidiya aur Choohe ki Kahani (The Story of the Bird and the Mouse)	• Understand a story with a moral about friendship and helping each other.<br>• Identify the characters and the sequence of events in the story.<br>• Develop an appreciation for stories and their lessons.
CLASS_2	English	Chapter 29: A Snake Charmer's Story	• Understand the life and work of a snake charmer.<br>• Develop an awareness about snakes and the need to protect them.<br>• Differentiate between harmful and harmless snakes (basic idea).
CLASS_2	English	Chapter 33: The Story of a Shirt	• Understand the process of how a shirt is made from cotton.<br>• Appreciate the effort of the people involved in making clothes (farmers, weavers, tailors).<br>• Develop an understanding of the journey of a product.
CLASS_2	English	Unit 1: First Day at School (Story), Haldi's Adventure (Poem)	• Read a short story with understanding and appropriate pauses.<br>• Comprehend the feelings of a character (nervousness, excitement).<br>• Identify and use naming words (nouns).<br>• Form simple questions and answers.
CLASS_2	English	Unit 2: I am Lucky (Poem), I Want (Story)	• Recite a poem with expression and actions.<br>• Identify rhyming words from a poem.<br>• Understand the concept of wants and needs.<br>• Use 'and' to join two words or ideas.
CLASS_2	English	Unit 3: A Smile (Poem), The Wind and the Sun (Story)	• Understand the theme of kindness and gentleness.<br>• Compare and contrast two characters.<br>• Identify doing words (verbs).<br>• Write a short description of a season.
CLASS_2	English	Unit 4: Rain (Poem), Storm in the Garden (Story)	• Appreciate a poem about nature's sounds.<br>• Understand the concept of a food chain (simple).<br>• Identify describing words (adjectives).<br>• Write a short paragraph on a given picture.
CLASS_2	English	Unit 5: Zoo Manners (Poem), Funny Bunny (Story)	• Understand the importance of good manners in public places.<br>• Identify the sequence of events in a story.<br>• Learn opposites (e.g., up/down, happy/sad).<br>• Write a short, simple story.
CLASS_2	English	Unit 6: Mr. Nobody (Poem), Curlylocks and the Three Bears (Story)	• Enjoy a humorous poem.<br>• Understand the concept of responsibility.<br>• Read and understand a classic fairy tale.<br>• Identify naming words (singular and plural).
CLASS_2	English	Unit 7: On My Blackboard I Can Draw (Poem), Make it Shorter (Story)	• Express creativity through a poem.<br>• Understand the concept of measurement (long/short).<br>• Read and understand a play/dialogue.<br>• Use question words (Who, What, Where, When).
CLASS_2	English	Unit 8: I am the Music Man (Poem), The Mumbai Musicians (Story)	• Enjoy a poem with repetition and rhythm.<br>• Understand the concept of teamwork and helping each other.<br>• Identify musical instruments and their sounds.<br>• Write a few sentences about their favourite animal.
CLASS_2	English	Unit 9: Granny Granny Please Comb My Hair (Poem), The Magic Porridge Pot (Story)	• Relate a poem to a daily routine (combing hair).<br>• Understand the importance of listening to instructions.<br>• Identify words that show action (verbs) and describe action (adverbs).<br>• Write a short story with a moral.
CLASS_3	Mathematics	Chapter 1: Where to Look From?	"• Understand and identify different views (top, side, front) of 3-D objects.<br>• Identify and make mirror images and symmetrical shapes.<br>• Count and represent numbers on an abacus."
CLASS_3	Mathematics	Chapter 2: Fun with Numbers	"• Read and write 3-digit numbers.<br>• Understand place value (ones, tens, hundreds).<br>• Compare and order numbers up to 999.<br>• Skip counting."
CLASS_3	Mathematics	Chapter 3: Give and Take	"• Add and subtract 3-digit numbers with and without regrouping.<br>• Solve word problems involving addition and subtraction.<br>• Understand the relationship between addition and subtraction."
CLASS_3	Mathematics	Chapter 4: Long and Short	"• Measure length using standard units (cm, m, km).<br>• Estimate lengths and distances.<br>• Compare lengths of different objects."
CLASS_3	Mathematics	Chapter 5: Shapes and Designs	"• Identify 2-D shapes and their properties (edges, corners).<br>• Identify and create patterns using shapes (tiling).<br>• Introduction to tangrams."
CLASS_3	Mathematics	Chapter 6: Fun with Give and Take	"• Mental math strategies for addition and subtraction.<br>• Solve missing number problems.<br>• Solve multi-step word problems."
CLASS_3	Mathematics	Chapter 7: Time Goes On...	"• Read time from a clock (hours and minutes).<br>• Understand the calendar (days, weeks, months, year).<br>• Calculate duration of events."
CLASS_3	Mathematics	Chapter 8: Who is Heavier?	"• Understand the concept of weight/mass.<br>• Compare weights using a balance.<br>• Use standard units of weight (kg, g)."
CLASS_3	Mathematics	Chapter 9: How Many Times?	"• Understand multiplication as repeated addition.<br>• Memorize multiplication tables (2 to 10).<br>• Solve simple multiplication problems."
CLASS_3	Mathematics	Chapter 10: Play with Patterns	"• Identify and extend number and picture patterns.<br>• Decode secret messages using patterns.<br>• Create patterns involving even and odd numbers."
CLASS_3	Mathematics	Chapter 11: Jugs and Mugs	"• Understand the concept of capacity.<br>• Measure capacity using standard units (l, ml).<br>• Solve word problems related to capacity."
CLASS_3	Mathematics	Chapter 12: Can We Share?	"• Understand division as equal distribution and repeated subtraction.<br>• Solve simple division problems.<br>• Relate division to multiplication."
CLASS_3	Mathematics	Chapter 13: Smart Charts!	"• Collect and record data using tally marks.<br>• Represent data using pictographs and bar graphs.<br>• Interpret simple charts to answer questions."
CLASS_3	Mathematics	Chapter 14: Rupees and Paise	"• Identify Indian currency notes and coins.<br>• Convert rupees to paise and vice versa.<br>• Add and subtract money amounts.<br>• Make bills and solve shopping problems."
CLASS_3	EVS	Chapter 1: Poonam's Day Out	"• Observe different animals in the surroundings.<br>• Classify animals based on their movement (walk, crawl, fly, swim) and habitat.<br>• Develop sensitivity towards animals."
CLASS_3	EVS	Chapter 2: The Plant Fairy	"• Identify different types of plants (herbs, shrubs, trees, climbers, creepers).<br>• Observe diversity in leaves (shape, size, color, texture, margin).<br>• Appreciate the beauty of plants."
CLASS_3	EVS	Chapter 3: Water O' Water!	"• Understand the importance of water for all living beings.<br>• Identify various sources of water.<br>• Discuss forms of water (solid, liquid, gas) in daily life.<br>• Realize the need to conserve water."
CLASS_3	EVS	Chapter 4: Our First School	"• Understand that family is our first school.<br>• Identify relationships between family members.<br>• Recognize physical similarities and habits shared among family members."
CLASS_3	EVS	Chapter 5: Chhotu's House	"• Identify different parts of a house and their uses.<br>• Differentiate between a house and a home.<br>• Understand the importance of keeping the house clean and decorating it."
CLASS_3	EVS	Chapter 6: Foods We Eat	"• Identify food items obtained from plants and animals.<br>• Discuss food diversity in different families and regions.<br>• Understand the importance of a balanced diet for health."
CLASS_3	EVS	Chapter 7: Saying without Speaking	"• Understand non-verbal communication (gestures, facial expressions).<br>• Be sensitive towards people who cannot speak or hear (differently-abled).<br>• Express feelings through mudras (in dance) and actions."
CLASS_3	EVS	Chapter 8: Flying High	"• Identify different birds based on their physical features (beak, feet, feathers).<br>• Observe feeding habits and nesting behaviors of birds.<br>• Develop empathy towards birds."
CLASS_3	EVS	Chapter 9: It's Raining	"• Understand the water cycle in a simple way (evaporation, condensation, rain).<br>• Realize the importance of rain for plants and animals.<br>• Enjoy the beauty of nature during rains."
CLASS_3	EVS	Chapter 10: What is Cooking?	"• Identify different utensils used for cooking.<br>• Differentiate between cooking and serving vessels.<br>• Identify different methods of cooking (roasting, boiling, frying, baking)."
CLASS_3	EVS	Chapter 11: From Here to There	"• Identify different modes of transport (land, water, air).<br>• Discuss the use of different vehicles for different purposes.<br>• Understand the role of railways in connecting places."
CLASS_3	EVS	Chapter 12: Work We Do	"• Identify different community helpers and their roles.<br>• Differentiate between household work and professional work.<br>• Challenge gender stereotypes related to work."
CLASS_3	EVS	Chapter 13: Sharing Our Feelings	"• Understand the needs and feelings of elderly and differently-abled people.<br>• Learn about Braille script for the visually impaired.<br>• Develop a caring attitude towards others."
CLASS_3	EVS	Chapter 14: The Story of Food	"• Trace the journey of food from field to plate.<br>• Identify medicinal plants used in home remedies.<br>• Differentiate between edible parts of plants (root, stem, leaf, flower, fruit)."
CLASS_3	EVS	Chapter 15: Making Pots	"• Understand the process of making clay pots.<br>• Appreciate the skill and hard work of potters.<br>• Discuss the uses of pots in daily life."
CLASS_3	EVS	Chapter 16: Games We Play	"• Identify different indoor and outdoor games.<br>• Discuss the importance of games for health and recreation.<br>• Learn about traditional games and famous sportspersons."
CLASS_3	EVS	Chapter 17: Here comes a Letter	"• Understand the journey of a letter from sender to receiver.<br>• Identify different types of letters and stamps.<br>• Discuss modern means of communication (telephone, email)."
CLASS_3	EVS	Chapter 18: A House Like This	"• Identify different types of houses based on climate and region (igloo, houseboat, stilt house).<br>• Understand the materials used for building houses.<br>• Appreciate diversity in housing."
CLASS_3	EVS	Chapter 19: Our Friends – Animals	"• Understand the interdependence between humans and animals.<br>• Discuss the needs of animals (food, water, shelter, love).<br>• Develop compassion towards animals."
CLASS_3	EVS	Chapter 20: Drop by Drop	"• Understand the scarcity of water in some regions (e.g., Rajasthan).<br>• Discuss methods of water conservation (rainwater harvesting).<br>• Value every drop of water."
CLASS_3	EVS	Chapter 21: Families can be Different	"• Recognize diversity in family structures (nuclear, joint, single-parent).<br>• Understand that all families provide love and support.<br>• Respect different family types."
CLASS_3	EVS	Chapter 22: Left-Right	"• Identify directions (left, right, front, back).<br>• Understand and use symbols in maps.<br>• Read a simple map to locate places."
CLASS_3	EVS	Chapter 23: A Beautiful Cloth	"• Understand the process of weaving and printing cloth.<br>• Appreciate traditional textile arts (e.g., embroidery, block printing).<br>• Identify patterns in fabrics."
CLASS_3	EVS	Chapter 24: Web of Life	"• Understand the interconnection between living and non-living things.<br>• Create a 'web of life' showing dependence on plants, animals, water, sun, etc.<br>• Realize the importance of balance in nature."
CLASS_3	English	Unit 1: The Magic Garden (Poem), The Talkative Barber (Story)	"• Read a story/poem with appropriate intonation and expression.<br>• Understand the central idea and moral of the story.<br>• Identify and use new vocabulary.<br>• Differentiate between a statement and a question."
CLASS_3	English	Unit 2: Bird Talk (Poem), Nina and the Baby Sparrows (Story)	"• Appreciate the beauty of a poem and its rhythm.<br>• Understand the concept of caring for animals and their young ones.<br>• Identify verbs (action words) and use them correctly.<br>• Write a short paragraph on a given topic."
CLASS_3	English	Unit 3: He is My Brother (Poem), The Man in the Moon (Story)	"• Understand the theme of love and care for a sibling.<br>• Identify rhyming words in a poem.<br>• Understand the sequence of events in a story.<br>• Learn the use of contractions (e.g., he's, can't)."
CLASS_3	English	Unit 4: Sea Song (Poem), A Little Fish Story (Story)	"• Appreciate a poem with a strong rhythm and sound words.<br>• Understand the concept of freedom and captivity.<br>• Identify describing words (adjectives).<br>• Write a short story with a moral."
CLASS_3	English	Unit 5: The Balloon Man (Poem), The Yellow Butterfly (Story)	"• Visualize a scene from a poem.<br>• Understand the concept of colours and beauty in nature.<br>• Identify the naming words (nouns) and action words (verbs) in sentences.<br>• Write a short description of a butterfly."
CLASS_3	English	Unit 6: Trains (Poem), The Story of the Road (Story)	"• Understand the concept of travel and different modes of transport.<br>• Identify the main idea of a story.<br>• Learn about prepositions (in, on, under, near).<br>• Write a short paragraph on a journey."
CLASS_3	English	Unit 7: Puppy and I (Poem), Don't Tell (Story)	"• Understand the relationship between a child and a pet.<br>• Understand the feelings of a child in a story.<br>• Identify opposites (e.g., up/down, go/stop).<br>• Write a short dialogue."
